Time, Value
03/01/21 01:20:00, 7.23058266
03/01/21 01:40:00, 7.487786915
03/01/21 02:00:00, 7.308408556
03/01/21 02:20:00, 7.112690288
03/01/21 02:40:00, 7.658311714
03/01/21 03:00:00, 7.231757259
03/01/21 03:20:00, 7.691988971
03/01/21 03:40:00, 7.848632301
03/01/21 04:00:00, 7.538679719
03/01/21 04:20:00, 7.706429826
03/01/21 04:40:00, 7.750641431
03/01/21 05:00:00, 8.043034498
03/01/21 05:20:00, 8.109097866
03/01/21 05:40:00, 7.869310319
03/01/21 06:00:00, 8.382036116
03/01/21 06:20:00, 7.871145552
03/01/21 06:40:00, 8.009145076
03/01/21 07:00:00, 8.495987977
03/01/21 07:20:00, 8.358512114
03/01/21 07:40:00, 8.265240366
03/01/21 08:00:00, 8.464133359
03/01/21 08:20:00, 8.583313403
03/01/21 08:40:00, 8.52982542
03/01/21 09:00:00, 8.711327893
03/01/21 09:20:00, 8.660315065
03/01/21 09:40:00, 8.79862255
03/01/21 10:00:00, 9.243347023
03/01/21 10:20:00, 9.289637528
03/01/21 10:40:00, 9.478972144
03/01/21 11:00:00, 9.581486119
03/01/21 11:20:00, 9.254226763
03/01/21 11:40:00, 9.416844335
03/01/21 12:00:00, 9.572992616
03/01/21 12:20:00, 9.811301081
03/01/21 12:40:00, 9.744581303
03/01/21 13:00:00, 9.968372736
03/01/21 13:20:00, 10.2131111
03/01/21 13:40:00, 10.30437418
03/01/21 14:00:00, 10.1362583
03/01/21 14:20:00, 10.42844424
03/01/21 14:40:00, 10.53274881
03/01/21 15:00:00, 10.71038613
03/01/21 15:20:00, 10.85092876
03/01/21 15:40:00, 10.88071993
03/01/21 16:00:00, 11.08218711
03/01/21 16:20:00, 11.14143553
03/01/21 16:40:00, 11.4038336
03/01/21 17:00:00, 11.52389676
03/01/21 17:20:00, 11.39566679
03/01/21 17:40:00, 11.61052044
03/01/21 18:00:00, 11.8488087
03/01/21 18:20:00, 11.88831289
03/01/21 18:40:00, 12.05770157
03/01/21 19:00:00, 12.09872461
03/01/21 19:20:00, 12.21934964
03/01/21 19:40:00, 12.50224253
03/01/21 20:00:00, 12.54229929
03/01/21 20:20:00, 12.6489726
03/01/21 20:40:00, 12.84535416
03/01/21 21:00:00, 12.96787919
03/01/21 21:20:00, 13.06353209
03/01/21 21:40:00, 13.21340943
03/01/21 22:00:00, 13.30325017
03/01/21 22:20:00, 13.42901927
03/01/21 22:40:00, 13.59041884
03/01/21 23:00:00, 13.72445964
03/01/21 23:20:00, 13.84742018
03/01/21 23:40:00, 13.98232728
04/01/21 00:00:00, 14.10693134
04/01/21 00:20:00, 14.23365212
04/01/21 00:40:00, 14.38738757
04/01/21 01:00:00, 14.52618304
04/01/21 01:20:00, 14.65602146
04/01/21 01:40:00, 14.74643747
04/01/21 02:00:00, 14.90486592
04/01/21 02:20:00, 15.0618818
04/01/21 02:40:00, 15.0965886
04/01/21 03:00:00, 15.30773431
04/01/21 03:20:00, 15.42109211
04/01/21 03:40:00, 15.48176084
04/01/21 04:00:00, 15.76308756
04/01/21 04:20:00, 15.75405481
04/01/21 04:40:00, 15.84092094
04/01/21 05:00:00, 16.07998107
04/01/21 05:20:00, 16.06233194
04/01/21 05:40:00, 16.22796455
04/01/21 06:00:00, 16.28964799
04/01/21 06:20:00, 16.51951261
04/01/21 06:40:00, 16.72234477
04/01/21 07:00:00, 16.65331264
04/01/21 07:20:00, 16.8453887
04/01/21 07:40:00, 16.98837103
04/01/21 08:00:00, 17.19692342
04/01/21 08:20:00, 17.34565047
04/01/21 08:40:00, 17.5207834
04/01/21 09:00:00, 17.610374
04/01/21 09:20:00, 17.77770336
04/01/21 09:40:00, 17.77143362
04/01/21 10:00:00, 17.9556199
04/01/21 10:20:00, 18.04046824
04/01/21 10:40:00, 18.03203521
04/01/21 11:00:00, 18.20638866
04/01/21 11:20:00, 18.29318248
04/01/21 11:40:00, 18.3161672
04/01/21 12:00:00, 18.31546523
04/01/21 12:20:00, 18.59264573
04/01/21 12:40:00, 18.3851461
04/01/21 13:00:00, 18.83313725
04/01/21 13:20:00, 18.85977962
04/01/21 13:40:00, 18.98894247
04/01/21 14:00:00, 18.72750512
04/01/21 14:20:00, 19.19087675
04/01/21 14:40:00, 18.92099422
04/01/21 15:00:00, 19.07292898
04/01/21 15:20:00, 19.13946968
04/01/21 15:40:00, 19.55520314
04/01/21 16:00:00, 19.54671366
04/01/21 16:20:00, 19.40638998
04/01/21 16:40:00, 19.80594314
04/01/21 17:00:00, 19.61800679
04/01/21 17:20:00, 20.0340124
04/01/21 17:40:00, 19.7819865
04/01/21 18:00:00, 19.88844305
04/01/21 18:20:00, 19.89214327
04/01/21 18:40:00, 20.29860413
04/01/21 19:00:00, 19.8554014
04/01/21 19:20:00, 19.97430615
04/01/21 19:40:00, 20.24632168
04/01/21 20:00:00, 20.16638894
04/01/21 20:20:00, 20.30297758
04/01/21 20:40:00, 20.12211318
04/01/21 21:00:00, 20.25550637
04/01/21 21:20:00, 20.61864431
04/01/21 21:40:00, 20.34218947
04/01/21 22:00:00, 20.29652512
04/01/21 22:20:00, 20.3580362
04/01/21 22:40:00, 20.75718314
04/01/21 23:00:00, 20.59260878
04/01/21 23:20:00, 20.59496762
04/01/21 23:40:00, 20.38657207
05/01/21 00:00:00, 20.57000579
05/01/21 00:20:00, 20.78291704
05/01/21 00:40:00, 20.86066393
05/01/21 01:00:00, 20.94112373
05/01/21 01:20:00, 20.51099385
05/01/21 01:40:00, 20.58932413
05/01/21 02:00:00, 20.77378241
05/01/21 02:20:00, 20.49666899
05/01/21 02:40:00, 21.13905151
05/01/21 03:00:00, 20.61820204
05/01/21 03:20:00, 20.70026288
05/01/21 03:40:00, 20.69553585
05/01/21 04:00:00, 20.80118871
05/01/21 04:20:00, 20.89478227
05/01/21 04:40:00, 21.04397809
05/01/21 05:00:00, 21.06253035
05/01/21 05:20:00, 20.673901
05/01/21 05:40:00, 20.87842521
05/01/21 06:00:00, 20.46669607
05/01/21 06:20:00, 20.55774947
05/01/21 06:40:00, 20.73602487
05/01/21 07:00:00, 20.64184102
05/01/21 07:20:00, 20.46433049
05/01/21 07:40:00, 20.56107059
05/01/21 08:00:00, 20.74361227
05/01/21 08:20:00, 20.53619994
05/01/21 08:40:00, 20.2887623
05/01/21 09:00:00, 20.3223413
05/01/21 09:20:00, 20.65013924
05/01/21 09:40:00, 20.62402123
05/01/21 10:00:00, 20.51526978
05/01/21 10:20:00, 20.61179183
05/01/21 10:40:00, 20.09924986
05/01/21 11:00:00, 20.53408054
05/01/21 11:20:00, 20.26595986
05/01/21 11:40:00, 20.03930697
05/01/21 12:00:00, 20.3799122
05/01/21 12:20:00, 19.7648328
05/01/21 12:40:00, 19.99838092
05/01/21 13:00:00, 19.67799069
05/01/21 13:20:00, 19.82255016
05/01/21 13:40:00, 20.02124421
05/01/21 14:00:00, 19.47004238
05/01/21 14:20:00, 19.5745626
05/01/21 14:40:00, 19.34953105
05/01/21 15:00:00, 19.32867431
05/01/21 15:20:00, 19.614638
05/01/21 15:40:00, 19.3484225
05/01/21 16:00:00, 19.19966915
05/01/21 16:20:00, 19.42606828
05/01/21 16:40:00, 18.9880635
05/01/21 17:00:00, 19.25330121
05/01/21 17:20:00, 18.81074106
05/01/21 17:40:00, 18.72261509
05/01/21 18:00:00, 19.02594614
05/01/21 18:20:00, 18.71524807
05/01/21 18:40:00, 18.71895399
05/01/21 19:00:00, 18.74749451
05/01/21 19:20:00, 18.33663478
05/01/21 19:40:00, 18.46974338
05/01/21 20:00:00, 18.15927813
05/01/21 20:20:00, 18.11118612
05/01/21 20:40:00, 18.109937
05/01/21 21:00:00, 17.90646159
05/01/21 21:20:00, 17.97133195
05/01/21 21:40:00, 17.92898985
05/01/21 22:00:00, 17.77295651
05/01/21 22:20:00, 17.60828056
